objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
DST_01,https://english.seoul.go.kr/wp-content/uploads/2021/12/SeMoCA-7.png,,,Seoul Museum of Craft Art,Libby,4/14/2024,I went to the Seoul Museum of Craft Art during my trip to South Korea this past spring. I absolutely loved this musuem for its beautiful displays and wonderful explinations of how these traditional crafts were made and used. ,Museums; Art,"Seoul, South Korea",37.57722892,126.9831609,,,,image/png,,,
DST_02,,,,,,,,,,,,,,,,,,
DST_03,,,,,,,,,,,,,,,,,,
DST_04,,,,,,,,,,,,,,,,,,
DST_05,,,,,,,,,,,,,,,,,,
DST_06,,,,,,,,,,,,,,,,,,
DST_07,,,,,,,,,,,,,,,,,,
DST_08,,,,,,,,,,,,,,,,,,
DST_09,,,,,,,,,,,,,,,,,,
DST_10,,,,,,,,,,,,,,,,,,
DST_11,,,,,,,,,,,,,,,,,,
DST_12,,,,,,,,,,,,,,,,,,
DST_13,,,,,,,,,,,,,,,,,,
DST_14,,,,,,,,,,,,,,,,,,
DST_15,,,,,,,,,,,,,,,,,,
DST_16,,,,,,,,,,,,,,,,,,
