objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,
DST_01,https://english.seoul.go.kr/wp-content/uploads/2021/12/SeMoCA-7.png,,,Seoul Museum of Craft Art,Libby,4/14/2024,I went to the Seoul Museum of Craft Art during my trip to South Korea this past spring. I absolutely loved this musuem for its beautiful displays and wonderful explanations of how these traditional crafts were made and used.,Museums; Art,"Seoul, South Korea",37.57722892,126.9831609,,,,image/png,,,,
DST_02,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxATEhUTExIWFhUXFRUYFxcXGBcdFxgdFxgWFxgZFxcYHiggGBolHRcWITEhJSkrLi4uFx8zODMsNygtLisBCgoKDg0OGxAQGi0lHyUtLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS8tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLf/AABEIAKMBNgMBIgACEQEDEQH/xAAbAAAABwEAAAAAAAAAAAAAAAAAAQIDBAUGB//EAEEQAAEDAgMEBwYDBwMEAwAAAAEAAhEDIQQSMQVBUWEGEyJxgZGhMkKxwdHwFFLhByNicoKS8TOi0iRDssIVU2P/xAAZAQADAQEBAAAAAAAAAAAAAAAAAQIDBAX/xAArEQACAgICAgIBAwMFAAAAAAAAAQIRAyESMUFRBGETIoHwkbHBFCMycaH/2gAMAwEAAhEDEQA/AM7h8TRw5DWOzVAdWnsREG+pdbW3Ajedzg3EsaXTMXJETzjcsJ0c2RTrucc+U2MagjeLQRx13BbrZ+D6pmXM53NxJ5b9O5d/x5Nq/BxZEkyRCOEaNdJmEjAQRoEABKAQCUAixhAJQCdq0XNylwLc05ZtMRMT3hEGqVJPodUIhGAlhqOE7EIhHCXCEJWMTCEJcIQiwEwhCXCEIsBEI4SoRwiwEQhCXCEIsBEIQlwhCLARCEJcIQiwEQhCXCEIsBEIoTkIQixjcIoTkIQixDcIoTkIQiwG8qLKnIRQiwG8qLKnYRQiwGsqCchBFgYbYmwcIzI92Ia914yugGIJjkASDPoteVj+i9JxqdoNawN/OM2aw7JkuIgg2I13rYsY55hrS48ACfgssPFR1oqd2IlCVcYPo1Xdd8MHO58h9VcYXo9h2e1LzzNvIfNTP5OOPmy44JsyVNhcYaCTwAk+itcJ0fxD9Whg/iPyF1rKQYwQxgaOQA+CXnJ/Rc0vmt/8UbR+MvJT4bozTb/qPLuQsPqrPC4alT9hgGt4v5m6fbTKDGCL81zyyTn2zaMIx6RkunVe9IEAiHGO8t+izVDFkaO/pd8jqPuy0XTR7DWa21qY9XO+izFTC8D5rbG2loymk2W1HGsNndk89PP6wpeVZnM5uvqpOGxpboY5G7f08IXTHN7MXj9F7CEKLR2i0+0MvPVv6fd1NbBEgyOI0Wykn0ZtUIhCEuEUJ2ITCEJUI4RYCYQhKhHCAEwhCVCOEAIhCEuEIQAiEIS4QhACIQhLhHCBjcIQnIRQgBEIoTkIoQAiEUJyEIQA3CKE5CKEAIhFCchFCLAahBOQjRYjN9AuixZNXGMysyyMxc0gzvggtM8TB3Deun0nNaIY0NHIR8Fy7DdIGhgfXxLs4cwupBr2PY4EkPi+YQ7tbnSCr7on0npEuptq1cRUc50B4AggE9lxAy04G/Q2vqfC5t6PTSijbdo/cJdOlbVMV8ZlYXu7LQJJuY+qVQ7bWumxAI7iJFkxkiWBA1uATYyDfKPrxuCdhQVeqWtLjMNBJ8LpvZ9UVKbagsHCROqOq8uBBuIuEdKiQAAICLAx3SxjX4mJ0awecnTxWYo4ozFweBEg9xFvgrzpNSccVUg6Fo8mNVTSplrpAvcQeYIPxXXCuOzllfLQ4K43hB1BpuD9EKuza9R2ZrHNsBJMCw4OsfJS8NsSr772jm0OJ8d3qlLLCPbQ445y6RXZXN7vRO0MYW3BLTy0PeFd09nUm+0S7vI+DVJpUmA9lgHMAA+ZuueXzIx6Nl8WT7IuDxNR0TTP8wFvEH6lOUMUx85XAlpII3gi1whtNgfTc17sjT7Ts0EDfc6Lm2LqspVj+ErtcAYaC+5sJyusQZJ3wVtg+c5umiM3xlFWmdORrGbN6YlpyV2kHnAPgfZd6d61mDxtOqOw4E8NHeXzXfGcZdHG4tEhBBGFYgI0EaAChCEaNKwEwjhHCOEAJhCEqEaLARCEJcIQgBEIoS4QhFgIhFCchFCLARCKEuEUIsBMIoS4QhFgNwglwgiwOP4FgxIb++pte5xAzPIggyLRZsGx71d7Lr1MHUd1XU1i1zMxMZyCCbCd0m5tpZVuz8LQbiG0i2plqUW9ltnEuaDqZguv2YMTAvCnbdwlGmxpoyHCA9tTOSQ6czmF7YLQDOY+yZsCvDfZ6Nas6XsrpLSxYDHvaHPY2aIhwGpPbjtTGmluMrR06LoA0AFuS5ZsfGbNp02sz1HupPztdTBaXhwaTnDozCwEge752uN/aTeGUx4kk+LBB+KqMWyuSR0IUQNSkV8RSptLnEQN5/VclxXTLG1NCWj+EBo87OHqqeviK9Qy99+JJcf7rK1AnkdVx/TGgx0BzcukiTM8CLac1RYjp8GnMCXSTDZAF7RIt6rCuw4gEucTe8x4dmPVOUqbG3DRPGL+adINlrU6Tue9z+qLnOJMXA4dx0/MpB2hiXMNYHJkjsNygCXBt+y6SZNw4aKrY+LgKQ6s7q3GbEtEcYIPyWWS6NMdWajozWqPpFzi4uzuEuvaGkZSSeKuOpG8z3qj2dtJtDBCoWOd2yAGxJJPMgblhttftCxFSRSHVs4tufF+o8AO9cihKb0bucYnRsftLD0L1HtbwHvHuaLlY/bH7QgJGHZ/U/5NB+J8FzjEYt9QkucXE6mde86nxTIc4aHzW8PjxXezCWZvoudo7Zr1zNV7ncp7I7gLDyUIsB+/mowxA3iOYTjXg6EFdCVdGL2TqONqNGUw9v5XiR4bx4FTcJj2tP7t5pHXK+TT8Hat+7qm63ij6wK1Joho6Bs/pjVpwK7JbudMg91QfOe9a3Z+16FYDI8Sdxj0Oh8CuM4fEvZ7LonUag94NipdDHsmYNN280/ZP81M7vuF0QztdmcsaZ2pGuc7K6V16Y9oVmD8tyO9hhzfCy2GzekVCracjt4daPOI8QF0RyxkZODRbo0SNWQBHCARpWMEIQlQgiwChCEpCEWMRCEJcIoRYCYRQlwihFgIhV+2dodSyYkmY4CBJJ5CysoWd6S40Me2BJa2TvtOhAPcss2RQg22OMbZVjb9ZzxDgASIG6wgnxkm9rKwq9Iiyu5jhLRLZiLgxPPfp9FncXj2NEPiIdIAEGSCG35gbt2qKnjqMgPY52Z93hwBAdY5ZjtGdb24XJ86PyW6qXk3eNejfYLEiq3MAQJIvvjf3ILMf/NvbFOkyAGkwM17+1ni5JJsguxfKVeX+xl+M5TVxVVmUFzgIkASADvgCwmd3EpeFxZgw4idY38yE5tKmXw4tycyAJ7yAJUPD4b3t03tC43Xg6GW9DGNEAguM75jL8zZXlLENPsiBFtL+HJZTDhxJibE258lZ4JjmOM3EWM2ExI71UNAXJqohUUYlKaeS0ZRI6wp1hPH438lGY7/AAn2P7+fyhQykS6bieHqVd47AlmEYXjtOqiLXDcrjEcJEqs2S1jnhr2mCfdu48h3rU9MIyUmge+bTezY+a5ssv1JG+NabIW0aGTAUR+Z7nelT9Fy+r0ZqC9N4PfY+YXVOk4jDYZo/wDrqH0aP/ZZGk4966viQUoWzm+RJqejFV8DWYDnYS4Hvta8t+aiiu3mO+/qL+hXQKR/eEke7Hr+ir9tbG66S0M07jPgFrPFXRnGfsycHh5X9BcJOUH9NVeVujFV/bbFwCL8godfYeIbILMzokCQTAidDO8LPhL0VyRVuqvHPv8AqnmMeeSYfmzZS0g8D+twrbssgHWJyi5jjCnoYwzCk7z8lOobNGr3ZRzN/JRjjps23xTZrP39r0KLYUaLBbRw+HvSpZ3/AJnWHhv+Caxu231qpq1GNzE60y5rh3EkyOSoxiW93f8AVOl45IXdh4NfsfpJWp2Y/rG/kdAf/abO/pIK1+y+lNCr2Xdh+8GfhqPhzXIXOjVSWbRsA7tjg65Hc72gto5mjN40zubCCJBBB0I080pcq2BtrEAkUC8n8r7tP9cf+QWzodKA1/U4lnVVBadWnuOh8L8lvHNF6Mnja2aNGmqNVrhLSCOIKcBWhApBAIwgAoQRoIGJhCEqEmo0kEAwYMHgdxhFhRmNsbcex5DMwLDYHR2oMgjTgfiqDbmOdWdmIa05ZAEknLYA79fkpXSd1Wm796c+UDtkQCBciAY3t14rOY93WODQ4gA3LYIAuIBBknNa3zXifIyZJScX1Z0wikrQXWnND2BoyXHZPAkF27x481LwuCzvlrA1xkktzO1gtbBGojx4hMUMPTp9htR4JcAb3J1i+nkpDMXTpVCGdlz2kEjUizSABeIvfvWcMkU6rRTRd7ExTqcx1YJF3vzuBIPu5SOIPmgqGtWZq19jcNBjxIyn5I1pH5EoqkhcEzLYvaDHlzBJMwHukudw7h3R8lO2Tshjs4qNOdwBaQCMtybjQT8vNzFGm/s0mMMR/wBtoMCNZJB706/EVGi4aC0Xytkn+IkC9zG/esJ5G4cY6/uUIq7OIJySANS+QLW37uZ4p19SJb1OVodBe09ZeJ92JOihYjEOe3NAOYHUiYHZJEzy56KLTx9VhHbkRMS4g7r5iLxw4jRCU2vtf9/z/wADRY1CJsbcdP8ACWwwY0707syK93nKSRcSTr2iQTawtxQq9VGVtzJOaTpwiItaT3rrhnTqL7HQqi8bxKmYYBzmgiJIBMi0xeOWqgUZAvCsdmuGYHWIkGLiRIWknopG36ObHphoqyHuvlcAYAmBY6mxM8010wPaoCLfvD/4LQYYNyNyNDWgCBEQO5ZzpV/rUhOjSfM/ovOjJynbO1pKNIb6aPDaVHdloN/3lg+Syjajt4nvutH+0YE9kbqdBthOhc7TyWVwQLWNEnTfPwXs/DX+2eX8h/rJVEjMTybp/Vx7lIfEGDu4XVJtbGOplpAnjeNP8pjD7WL3kS5oLmwJHEWG8W71q80YviZ8G1Zo8MwhjdfZb3aBJYZqyIMMItzLT8lT4za7ILGOEgFpm0EQLE2ImbKPgse9lPMAHdsg3mRlzXdx0uk88U+IcHVll0mpNdSnLcEagehUet0ao1mB7nOa/LFoi2lil7HrCu9tJ1walMXJkzrF5F/Tgr59JuYgWAJjum1+5KLjkn+3+Ru4R/c5tjcG5kAGQMw7QuYJ74tG9R+sIAJ3k6XFu++/iul0KZl/8/8A6tQGGaXOzMaRDdQDx4o/09+Q/N9HNusBF/vwN07gcMCTGk6LX7T2Ng3OIezL7OXJLYJmTAtwuQs1+GyUqvVOPZqQ1xiYmO7RY5Mbj5NYTskfhmjUgJNOvRBjU87f5VU2s9oBI1nnoef1ThrA2IG71voVnVF2Xh2vVAysdkb/AAWPnr6qN+LfJOcmTfN2geMh2qg4SiC8AOMRp/lXP4JsX01ufvgjkkHGx3Z23KlIyxxpnkS5n9pu0eY5LZbK6cAx1zJH56dx4jd4wsE04efazcm39VIw23OoINCkxrgQczu061+ULSOWS6IeNPs7FgcdSqjNTeHDlqO8ahSQVxLD7ccHl5lrpJzM7Jk7yND6Hmtfsjpw4QKkVBxHZqeLfe8J71vHMn2YvG10dARqBs3a1Ct7D772mzh3tKsAtbIoKFTdIscGsLG1MtXskAzcTpp9wrtZXpbh3e3UbmY0EhzRDhuhxMj3gfA+OWaTUHRUVsyu2sTVeG067rAwC6DByhwsDPPyO9VDqD2VAWjrWAiezBEgEuaRqTw+oVoHOPtPzRmNtwhxIcDMX3iNQd6cw9UVDIywI+ZgNP8AKI8V4mTI07219nSkVr9ptbDiwyDGQgZpv7GaCRJieXOE3jq9Q1MlIl7YytaGFs8dRdto171av6lrmvLcpDpF4g3MwYvf4Jo5jL25nwJdZzmtbLWaRE3gNk6R3OEoNajsGvsFKGgZaV4EhsOvHaNzxj9EEbMXS6uHdYCHaw+/ZA1y/wAOnMoKZK3bQIzb6zACDTJMkm9r7g4XOgT1XaGGAynM5sWaS+N8Ai0xKrPxJDt8DnF/uyafXzTmEjWx18VrxvsRJxeLpOYGMZLTJvA1uYMX8U1+Jy26sOGsybDuGkdyabSEdi9zci3KPXVEzDnNMtMbpI5yOatRQWywwuJfq05d1juI3RBjUKUKrIFnaeE745fRV9Kd5AEyYE+Zi6mMpCRuibiY7o3FNUnYKRLovETH33LQ7DqUWQ6qHGYDS03BnUDiInfr5Z3ClodDiQDqReLctVqa3Zp+4abHHqw8Q85iA0uIMEC5kflHcryPwb415NxgMZTqsJpnsgxFwbcd0rP9JTOKYP8A82+rnp/YGKqva0tdAkCCzsn8xEamxE6DRN7UBdjmiZIFIed/muOEakzpk7SKv9peLc2pULdW1KbdSLCmCfZI4rK7O2mKjsswd0gEHyg+q0nT0udVqBmpq1P9rcgWXpYQtZOUl0TqDcbgRcA3XrYVJRVHm5GnJ2J20yk4jrXZYzQW5hwBtld8VBwmzmdY17KzXBpBy2njYBxM+AUfpBXA6sEz2Jk75Av6KJsio11ZneD5XUSdz6Gl+kssVg64e45GkFziNM1zIsYPgjrVCygC5haesNiC3VkW4f5VPXxbw9+V7m9p3skjeeBVg7adZlFjg6S5zgSQLgCwMQd6TUZOx7Rb9CwPxlEhpANRhuZ4RBCLbe0nCs5pcQ0OsRrppM/zcNSj6FbTNTF0g6mwEGczRe19TJ9Qo+O/D1K1RpDw7O6SCIkGJMk/AJR09MHtbJBxWIABpE5ck35mDbuhDF4qpSaAHSXTJJ/WD+iU+k2GgPA7MHNYEaiZiL8tyG0sDnaOqdOXuAvrckWHitZXx0QqvZCxmPLqbc9yZAIOhbEW3/H4Ig534V7vaJqNHavPtfdk1XoVBTZLXSC+bTGm/gplSiRgGuIMOrkDcTlBnu1Cybd7LS9FZ1LXtYS2LGzb79YNz5p04KnmknXKRMjc0Dl66qNVtTp5RBOaOW+LpWaqazLy09Tb+lt433lTv36AVs3CZSS1zv8ATcZIsCJiCLEQAZUeoyqbul3Ofr8lYbGfUzVTUi1J7uyB+Uk6apDXtcJOmYxPtT2RfLEX48kX5GVj43/RXuGpUwxpcQJANzfRKqhtRuUgBos05QdSN47hv3qywfR2lWp03mo5riA0wJAAYXA+ipRc9IOSjsqqmJoN3F3cPnqn8LtN7b0qTQdziC4+BNvRScT0Se1jnsqhwAqGMpE5JtqReFpujXRMV6LKrqkBwPZDb2JbqTG7gn+OS1Qc4vyZKrj8S+oajyXPMSYDTbSC2OGnotp0R2/iXODKx7EG7x2rbgRd2+5Cv8H0UwjPcLzxcfkIHornDYVjLMY1v8oA+C2hCS8mcpRY+AqLHbUdNSmWtykOaDmiTvkgkjszu1jir14MdmJ56eizmO2C1wz16jqlSRDGuDfADfMHS/qnkcq/SQvsy9f8K8PaH1A7KXAEQTqQM066AmwjmqLE1cQO2KYADg0vILnGAYaGu0iSRefMLQbR2LVFVrHWpnMTmjrIEiTOk92/mFGxOJDIa14Ybt1PvdolrYgyZuYnKOC8qbjF1KO/o3S1oym2KVfNmBL3Nh8teHwHQPd0I3jxT2xsfXpjrHZ3OL2tBzOD+17IyuABM3sfqrkipLS0tImCXECzhdzfeFjHcUVSs5lmmwuTMzfi7noh51LXFfs/5/QKHTteq+X0pJMWqAl0CZgR7Ps3BiT3I02zFYd13tGaLwAOETAhxMzNvhBI5Vq2IxdTKZkkRrMwRrcawoDnlhM6aev6J11YUi5ry0/mjUnT5aC1ymsXiWkZmOkmSZJm87ot5reK9CJuCrsuS7KI0JN0vESBJsXXBygHj4qnpPB1N9PsJZfeCc17XkHRNx3YFo94ADiS421j04J81RDS8gAWiPmAJ3FQ6OMZks4B28RMxfQCw3a7kkVmnKDabixI5i6mmBdYRhcJF43j9VaYd798kcN2kfDeqGhXcZhwAg8OFtfu6sKbqrGCAO06QJNxYTx3xxVxcn2WpUdC6O7eylrKkwAe1mcbAEgZdFILw/aIIuOspCZ5M/VZTY1F1UZ8wFy1wAMdwJPDkjoYynQqgue7OHy0AAA5b3dP3Kh4UrkbfmukTel+0qVOpL2NIeajiSC4jNUeNNIsNyqsN0iok2NM/u6zgOqp+5Se8G7N2VXjcZTqFrTRxZdBAimxurnOkON9/ojxWzMQO1To4wDK8dqs0e00tn2rETI4GFus8YqrMXibdmA6Q4+u5zMji0Gkw9hjW6z+QDgn9mNrZaJfUqFxqVpa4OgjIyCS7cC2wj3irnF0arzDsNiCQ0NviHAWtJg3PNQzSqUMrnCMgdbrg4/vLdoanW17Jxmm+yWqRUN2fRf1pGIwr4EjMw0iJqMEkgNMQ4jXUhIxGEa5uHpFoguqgupPOUZSAS0uzZgYMKU2uA1zeteczQAXhr4hzXTfX2YjnO5SMNXogUgXMPVtqD2Mt3SQRl0FxIRFNdyv+gm16Gf2f0mDEyA8Hq32cWkaAe0I48E3isG01ahbUGY1amodqXngCOWqsej1XD0KoeTTHZykh7rSWzZxvoSoxoA1szQ5zTUDiQ+mRd0m0AwE1G+xciNtClUzMYMpORogObJMnQEyUmoyqKdIhjp7dwDbtHerVuBBxFJ0usaZ9i1nC2YOsUyzZrmimcwEUsQLB+9tSCOz9wlWx8kStjVzlpzfM94OYSeyPzG4vwV7+EZWwlDOB2n1XWuJGVsjPMWCrNgh/VNlwdd/vA++wbzwnzV9gwfw2HkX/eyI/iEWGiF2v54H7M9X6NU3EtBgNFuPa1vNtOCju6PvDhUBnLAiZ9js74uQ1a1lMGoRp2Gn/a5yZpNBpuO6XDneT81TSAyWz9lV6XWAi5pVA0gm7i3nYacVTY5tVoDerJlxklsxZpnS158l0HaeGJpVRmAy03zrvGX4uCye3MJVAaetazLULSTWAuWMIFifyuMKeMaDZSiuD1gcYIqayR+fh4rT4fbLqJpsYXOJp03Blslw4E8ZvoI0VR+HxD+tg0qgD4AOUgQ7Sw1u2ysMXsiq40/3EnqGCQ4tg37ImwHNVF8XdiatGqxOKa2iHuF3ZwRoe1mnT/C1PQof9FR7j6uJXJzsWpoMwgAXcwgXHMXXW+h9JzcJSaYkA7xxPNaKdsjjSLhGEeQ/ZCIK7JobdjKYMF4nh/hYfae22/i+sAkMnTNAyaG3tdoi2imdK6hY4hpAcXb3NG7S51khZl2DqFstF3kAHOzKTvAObXW3Nebmzzk+PpnTwjHo2mGxra0u6tpBjNeZJGsHQ/YWI26yrQJAaBmIILzOYTBiJaDEa68lc9GDke7MILoAAi99YB5a8lC6RmhWIeS4OIIym4sYtOkxpZc7e/1bLlGPC12Zv8YYIEHNE5QNQALzYzA3qPVxTQNb7+X3qmn0HXOYt7RECQ6JsLiAbTMKJiWBkw4a+y27eNyTKuKV6MXFkllVsauH8p9dEar21gRJzG+6w9Cgr4iKKrhw45swjfxBKU10QIEDTjPGRqo2JzZjmdJHAyPBPYWpMzra28810taAMsGYEwL7+amuaAMsCCLc/ooGIAg3cPvepWFMsHK25KhChQboLn6xZTG0WxZpzDXkRr9lR2NM6AC33ZPtxj2tc0E9qxg68ZG8RNuaTRSY9UrRpw+X1U3C4k2ZmgAyHcABJv4aKoLBc7rxOvKeClYqozIxrZztJ8hr8B5K4xrYi7odJKrA1ub3pAABJB3NEePilYDC4jEV81Rg7RM55DRqbDUjW3GEzsPCtADgCXnWoZ3RIbOoWk2XUDXS4TZDiNEGt0txNHshlMkaPcSbaAGIuouM6b7ScB++DWnTIGwe50HhxVFtx8VN4PVtHqTfiomGcOEANMwLax7OnvKOER837JeIxeIqHt1Kj54uJ9JVY4AujUp5sH/ky/m03b8OSj7NpEyeTvieKdCslBse6fJEaoHunxT9GvBHWB5HCS30m6udnHC9kb4GbMSIPcdVLkNbM63GFugaO8SfVO1cXUe4uc6SdTAHLQCFGLJqujTOY7pMLSVNl0wyd8N3nfCbdDSspW1nD3iO79E/h9qFpu6o6N2eAfG6rdpnK6o0HQsAsN8TfVSMDRaWEOkOMw4QSIn3Sb7vJVbWyaRYM21WBOV8CTAsYEzrF93kpNLpNiBDc7YbMAjSbmAO5VePaMmZjcpEzcme1ax0soOGpPdB3yJJ4XlHLyGjYjpbVaQRDyWwbFoGogXvben6HTJ0Q6iDebO+qxmMoubTD5vIBE8bJWDwLn5DBhzgC7cJMeOqfPV2NfRvsR01w/Vvpuow6o09sFjomLHKJsWzEqE/bGzajXCq4uLqof2mvOWGBgiG9+82OqwuIBbVdT/K6J4+CJ1UATcpUq0Nv2dT2Zt3ZFNpiWvJcTlzBpJy3iASew035qvqVsE4tcKsx1YEtdYMDgYkEXkHwWDoU3Oa4tEluWQASe1YQBqpNOhVdd7g2ALOJLgNfZbJbrMGNUkq8iNpXw2DqF7i/wBovNnZTJdmG6Fsth9IsJRpMoh8hoIEubOpi5InVZboPsqhWoNe5pfd13DLo4tuATa3HetLiNm4WmJJpsuBYgb953+JUPM4ui1BNWPY7Hhwd/1OSX5mzUpNgWAgTMa8ZS9j7YyPIqYgvzNES5pGuoDDJNju3KnOO2dTBApNeb3DNdd9viq7G7bY/M1uGGUzAIFpJOgEHXeo/PKxNQXk0u3sU2rLmYjIRl0N/ZjTUX7lAe+k118Q+oTVc4BhNhIMESSWiNyyjmvgjIwAxMtbeO9IpVKgMg5TxAAPosnJMlz2TNu9IXh8U3ZQ0mTETwgzca/cqsO2qhBz1HOzQLkmeZnXyTjMMz3pPr98VFxOHYdGnXWyUZxS4pEuVjP4kTZ3Lnqo+JpNc4RqddI3aRNzfcpdPBj+Lwj4qTR2Xvg98o5qLsSZT/h3NJAcRH5Sd9/TRBXI2W0kw2+8yRPkUEflRVo5uG6og7KQRqrr8NutaZPrBlGzAng3Xl8j4ru5ex0U2dzpkmUvDvI8xb0srl2CGmXvsT5JLsG3hojkPiR3SeWm/wCKIPEa79E+/CEiAD4jUd/gmPwpPuO8v1SQuIrMSN0fcqRgQ514zOnjAbG8nedbKMMK6LA+Sfw1Oq3QcVVio1uz25d8mPDwG5WtDf3H0WQw2NqAiQedvmrnD7WaTvFt4Px0VJiaI+O2ZUe9xbEHKL8goVPYFUBwtdsa/wATT8itJSrs1zDXinTUZx+KPxxuxWzIno/Wt7MjvUjC7MexsEXgjkVo3Pbz8nJmo0k2a46e67j3IaQKzNDY1aCLX5mPKEt+yKkkiIlaMU3fkf8A2uSjQef+07xyj4lFRDZmcPsx7XDMIurICqRccPQg/JTquHqn3By7dP8A5IFj49lv930ChuHljujMY/Y1WpVLxlgkGJvYDlyTj9m1CABFpB8ytEKLv4R5n6IdRE9rUzYD9VLy4/ZPIzr9m1Yi0QN/cjbg6jWw2A7s+V1o+rbwn75Iwxo3DyUPLHqhczL4jCV3gNMESD5KTh8NiAA1rLa3B1H+Fomzx8glZeazeRVVBzMu3Ytc1C9waJIOvAD6KditkvqNhzmDtBxhsm26bK6BaERqjgFLm3X0LkyG7BZmGnPYNoaA0RIIsLbk9QwTG2DWaNHaE6NDRYyNAnm4jklMxpBtHkFDlIL+xTaVWMoLso0AJjwCbOEfwKkjG1DvATFaoTrUJUcpXsBvLGvqnWYgjTKPAfFRD3ojG8q6vsRIe8u1M+QSCOaba7gPNDrJ3pXQxRHMpTaQ1j0Q68DcEy+u7cjYEiSOITTiTvnxUcudvlI653BFASu39hBMNxL+KCNgQTSba2sT5FIntxaO4ct6CC6LNbE1xqeEJileJ4/fcggtI9FLodbqR97kp1MZSY+7okE2UFUpNAkDckNpiDbeggiJBN2XhWOdBHqR8FrcHsLCgT1Q8S4/Eo0EykTW4Gi32abB/SFXY+u5vswO5rfoggoyOlozmyE3G1Tq8+Fvgg+s/XM6e8oILl5P2Y2whUPFDMUEEhDTnFIzFBBUAoIpuggkAbNUbzCCCoYifvySXIIIEMvqu4pbDbyRIJjFAoIkEgCLj996TUKNBACJRQggmMbc4yO76pWY+qJBAC3FAlBBQAgkoNOiCCYDzWA6hBBBSUf/2Q==",,,Burling Library,Libby,4/30/1980,Burling after the renovation,,"Grinnell, IA",41.74662626,-92.72018055,,,,image/png,,,,
DST_03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442840968l/25852784.jpg,,,Evicted: Poverty and Profit in the American City,Sage G,3/1/2016,A book on American eviction/the book that made me want to be a sociology major,Crown Publishers,"Milwaukee, WI",43.0389,87.9065,,,Academic Book,image/jpeg,English,Crown Publishers,,
DST_04,https://media.fitzwilliamhoteldublin.com/staging/wp-content/uploads/2016/09/18142447/Dublin-Forty-Foot.jpg,,,Forty Foot,Emma KM,4/10/2024,"I went to Forty Foot, a sea swim spot on a coastal town in Dublin, Ireland. It was a fantastic polar plunge spot, and it is one of the best maintained and best-known sea swim spots in Ireland. I'd go every other week, and there were always elder folk doing their swims :)",Swim; Polar Plunge; Nature; Sea; Sea Swim,4 Sandycove Road Dun Laoghaire A96 D6Y0 County Dublin,53.290275,-6.114106,fitz william hotel dublin,Sea Swim,,image/jpeg,English,,,
DST_05,https://images.everydayhealth.com/images/diet-nutrition/how-many-calories-are-in-a-banana-1440x810.jpg,,,Banana,Kailee,9/19/2024,"A yellow, soft fruit that grows in trees and requires peeling.",,India,20.5937,78.9629,,4011,Fruit,,,,,
DST_06,https://tinandthyme.uk/wp-content/uploads/2023/01/Cooked-Brussels-Sprouts.jpg,,,Brussel Sprouts,Kailee,9/19/2024,Small green bulbs that grow in bunches.,,Mexico,23.6345,102.5528,,4550,Vegetable,,,,,
DST_07,https://dst295omeka.steelberg.sites.grinnell.edu/files/original/9eb80a3aea0320354f3cc3dbd8c834d4.pdf,,,Seeks Concern For Homosexuals,Morgan S,2/25/1972,"Written before Grinnell College had an established student organization or any formal support for the LGBTQIA+ community, this letter to the editor expresses an anonymous student's concerns for the place of homosexuals at the College. It describes the isolation that many gay students at Grinnell College felt before the formation of the Grinnell College Gay Community and the establishment of the Stonewall Resource Center. The writer is issuing a call to action to create some kind of gay community at the College, which was soon answered by the formation of GCGC.","Gay Rights, Gay Community, Closeted LGBTQ+ People, Gay Movement","Grinnell, IA",41.74937,-92.719819,Grinnell College Scarlet and Black Student Newspaper,,Newspaper,application/pdf,English,Grinnell College,"All materials contained in this Website are protected by copyright laws. You may use the materials for personal, informational, research and non-commercial purposes only. You may not alter or modify the materials in any way. Any other use of the material on this website, including reproducing, re-transmitting, republishing, redistributing or permanently storing any of the contents in any form for commercial use is strictly prohibited. You may not distribute content from this website or cause your user name and password to be made available to other individuals. Failure to comply with these terms and conditions may result in termination of your subscription, and/or taking the appropriate legal action against you.",.
DST_09,https://tacotourist.com/wp-content/uploads/2013/08/el-milagro.jpg,,,El Milagro Taqueria,Karolina C,9/19/2024,A restaurant that serves authentic mexican food.,Restaurant,"Chicago IL, Pilse neighboordhood",41.85606365,-87.66333605,,,Building,,English and Spanish,,,
DST_10,,,,Wild cat at fahai temple,Luxie zhao,9/19/2024,a cat that i met while i was visiting fahai temple in Beijing,Cat,"Beijing,China",39°54′24″N 116°23′51″E,116.383331,,,animal,image/jpeg,english,Grinnell.college,,
DST_11,"https://m.media-amazon.com/images/I/71sSiyY6QqL._AC_UF1000,1000_QL80_.jpg",,,Process and Reality,Zachary,9/19/2024,A book based on process philosophy lectures delivered by Alfred North Whitehead between 1927-1928,Metaphysics; Process Philosophy,"Grinnell, IA","41.7499592779232,",-92.72175805,Process and and Reality (Cambridge Edition); Process and Reality (Macmillan Edition),,Book,image/jpeg,English,The Free Press,,
